1,Legacies,Mystery,The CW,"In a place where young witches, vampires, and werewolves are nurtured to be their best selves in spite of their worst impulses, Klaus Mikaelson’s daughter, 17-year-old Hope Mikaelson, Alaric Saltzman’s twins, Lizzie and Josie Saltzman, among others, come of age into heroes and villains at The Salvatore School for the Young and Gifted.",3,2018,45,Tv
2,The Big Bang Theory,Comedy,CBS,"The Big Bang Theory is centered on five characters living in Pasadena, California: roommates Leonard Hofstadter and Sheldon Cooper; Penny, a waitress and aspiring actress who lives across the hall; and Leonard and Sheldon's equally geeky and socially awkward friends and co-workers, mechanical engineer Howard Wolowitz and astrophysicist Raj Koothrappali. The geekiness and intellect of the four guys is contrasted for comic effect with Penny's social skills and common sense.",262,2007,22,Tv
3,The Walking Dead,Action & Adventure,AMC,Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way.,123,2010,42,Tv
4,Grey's Anatomy,Drama,ABC,Follows the personal and professional lives of a group of doctors at Seattle’s Grey Sloan Memorial Hospital.,322,2005,43,Tv
5,Ray Donovan,Drama,Showtime,"Set in the sprawling mecca of the rich and famous, Ray Donovan does the dirty work for LA's top power players, and makes their problems disappear. His father's unexpected release from prison sets off a chain of events that shakes the Donovan family to its core.",65,2013,50,Tv
6,Marvel's Iron Fist,Action & Adventure,Netflix,"Danny Rand resurfaces 15 years after being presumed dead. Now, with the power of the Iron Fist, he seeks to reclaim his past and fulfill his destiny.",23,2017,55,Tv
7,The Flash,Drama,The CW,"After a particle accelerator causes a freak storm, CSI Investigator Barry Allen is struck by lightning and falls into a coma. Months later he awakens with the power of super speed, granting him the ability to move through Central City like an unseen guardian angel. Though initially excited by his newfound powers, Barry is shocked to discover he is not the only ""meta-human"" who was created in the wake of the accelerator explosion -- and not everyone is using their new powers for good. Barry partners with S.T.A.R. Labs and dedicates his life to protect the innocent. For now, only a few close friends and associates know that Barry is literally the fastest man alive, but it won't be long before the world learns what Barry Allen has become...The Flash.",96,2014,44,Tv
8,"Midnight, Texas",Drama,NBC,"Welcome to a place where being normal is really quite strange. In a remote Texas town no one is who they seem. From vampires and witches to psychics and hit men, Midnight is a mysterious safe haven for those who are different. As the town members fight off outside pressures from rowdy biker gangs, ever-suspicious cops and their own dangerous pasts, they band together and form a strong and unlikely family.",12,2017,45,Tv
9,Marvel's Daredevil,Action,Netflix,Lawyer-by-day Matt Murdock uses his heightened senses from being blinded as a young boy to fight crime at night on the streets of Hell’s Kitchen as Daredevil.,39,2015,52,Tv
10,American Horror Story,Drama,FX,"An anthology horror drama series centering on different characters and locations, including a house with a murderous past, an asylum, a witch coven, a freak show, a hotel, a farmhouse in Roanoke and a cult.",94,2011,43,Tv
